tripID,CLS_ID,nbAnglers,return_date_ymd,state,RED SNAPPER_kept,RED SNAPPER_released,VERMILION SNAPPER_kept,VERMILION SNAPPER_released,KING MACKEREL_kept,KING MACKEREL_released,SPANISH MACKEREL_kept,SPANISH MACKEREL_released,RED GROUPER_kept,RED GROUPER_released,WHITE GRUNT_kept,WHITE GRUNT_released,RED PORGY_kept,RED PORGY_released
7509,201,4,2017-02-02,FL,NA,NA,NA,NA,NA,NA,NA,NA,6,5,NA,NA,NA,NA
7510,159,6,2017-02-01,FL,NA,NA,NA,NA,NA,NA,NA,NA,12,16,NA,NA,NA,NA
7511,139,3,2017-02-02,AL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7514,201,4,2017-02-03,FL,2,35,NA,NA,NA,NA,NA,NA,9,6,NA,NA,NA,NA
7515,159,6,2017-02-02,FL,NA,NA,NA,NA,NA,NA,NA,NA,14,47,NA,NA,NA,NA
7517,246,6,2017-01-15,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,45,NA,NA
7518,246,5,2017-01-19,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,50,NA,NA
7519,246,3,2017-01-20,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,45,NA,NA
7521,242,3,2017-02-04,FL,0,1,NA,NA,NA,NA,NA,NA,NA,NA,15,15,NA,NA
7522,139,5,2017-02-03,AL,NA,NA,21,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7523,192,5,2017-02-04,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7524,259,3,2017-02-04,FL,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,NA
7525,34,3,2017-02-04,FL,4,32,7,8,NA,NA,NA,NA,2,0,NA,NA,10,2
7526,159,5,2017-02-03,FL,NA,NA,NA,NA,NA,NA,NA,NA,11,19,NA,NA,NA,NA
7532,133,3,2017-02-05,FL,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
7533,210,4,2017-02-05,FL,NA,NA,NA,NA,NA,NA,NA,NA,0,4,40,10,NA,NA
7534,194,2,2017-02-05,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7535,192,6,2017-02-05,FL,NA,NA,NA,NA,NA,NA,NA,NA,1,10,NA,NA,NA,NA
7536,192,2,2017-02-06,FL,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA
7537,156,2,2017-02-02,FL,0,1,NA,NA,NA,NA,NA,NA,0,2,6,2,NA,NA
7538,156,3,2017-02-03,FL,0,2,NA,NA,NA,NA,NA,NA,NA,NA,15,0,NA,NA
7539,202,2,2017-02-06,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7540,158,4,2017-02-06,FL,NA,NA,NA,NA,NA,NA,NA,NA,0,8,8,19,NA,NA
7542,158,4,2017-02-06,FL,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,27,NA,NA
7543,159,6,2017-02-04,FL,NA,NA,NA,NA,NA,NA,NA,NA,13,26,NA,NA,NA,NA
7544,260,5,2017-02-06,FL,0,36,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA
7545,194,6,2017-02-06,FL,NA,NA,NA,NA,NA,NA,NA,NA,9,35,NA,NA,NA,NA
7547,156,4,2017-02-07,FL,0,1,NA,NA,NA,NA,NA,NA,0,3,0,40,NA,NA
7551,192,6,2017-02-07,FL,NA,NA,NA,NA,NA,NA,NA,NA,11,15,NA,NA,NA,NA
7552,202,4,2017-02-07,FL,NA,NA,NA,NA,NA,NA,NA,NA,6,8,35,40,NA,NA
7554,159,2,2017-02-06,FL,NA,NA,NA,NA,NA,NA,NA,NA,4,19,NA,NA,NA,NA
7555,194,5,2017-02-07,FL,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA
7556,194,6,2017-02-07,FL,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
7557,158,4,2017-02-07,FL,NA,NA,14,2,NA,NA,NA,NA,0,21,8,25,NA,NA
7558,158,5,2017-02-08,FL,NA,NA,NA,NA,NA,NA,NA,NA,0,12,13,27,NA,NA
7559,259,5,2017-02-08,FL,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA,NA
7560,192,6,2017-02-08,FL,NA,NA,NA,NA,NA,NA,NA,NA,11,20,NA,NA,NA,NA
7561,194,6,2017-02-08,FL,NA,NA,NA,NA,NA,NA,NA,NA,8,45,NA,NA,NA,NA
7562,192,6,2017-02-09,FL,NA,NA,NA,NA,NA,NA,NA,NA,12,25,NA,NA,NA,NA
7563,158,4,2017-02-09,FL,NA,NA,NA,NA,NA,NA,NA,NA,0,7,7,21,NA,NA
7566,158,4,2017-02-10,FL,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,16,NA,NA
7567,158,4,2017-02-11,FL,NA,NA,NA,NA,NA,NA,NA,NA,0,7,7,31,NA,NA
7569,246,6,2017-02-03,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,25,NA,NA
7571,192,6,2017-02-11,FL,NA,NA,NA,NA,NA,NA,NA,NA,12,20,NA,NA,NA,NA
7572,156,4,2017-02-11,FL,NA,NA,NA,NA,NA,NA,NA,NA,1,1,60,20,NA,NA
7574,194,5,2017-02-11,FL,NA,NA,NA,NA,7,0,NA,NA,NA,NA,NA,NA,NA,NA
7575,14,5,2017-02-11,FL,0,1,7,3,NA,NA,NA,NA,0,1,NA,NA,16,0
7576,194,6,2017-02-12,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
